"sku","nombre","descripcion","precio1","precio2","precio3","precio4","precio5","cantidad2","cantidad3","cantidad4","cantidad5","unidad_medida","CATEGORIA","ACTIVO"
"5228","CHILE SECO EN TROZOS 2_GR SPICE KING POR PIEZA","-",0.60,0.60,0.60,0.60,"",1.00,1.00,1.00,"","PZ","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"4214","CHILE SECO ENTERO SIN COLA PRIMERA","-",108.00,106.00,106.00,106.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"5398","CHILE SECO MOLIDO ESPECIERO 50_GR","-",23.00,21.00,21.00,21.00,"",6.00,6.00,6.00,"","PZ","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"4829","CHILE SECO MOLIDO MCX 1_KG","-",150.00,150.00,150.00,150.00,"",1.00,1.00,1.00,"","PQ","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"4828","CHILE SECO MOLIDO MCX GRANEL","-",175.00,175.00,175.00,175.00,"",1.00,1.00,1.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"0905","CHILE SECO RAJADO NEGRO CON COLA PRIMERA","-",145.00,140.00,140.00,140.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"0909","CHILE SECO RAJADO ROJO CON COLA PRIMERA","-",126.00,124.00,124.00,124.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"5623","CHILE TIPO TAJIN ESPECIERO 80_GR","-",21.00,19.00,19.00,19.00,"",12.00,12.00,12.00,"","PZ","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"2304","CHILES CHIPOTLES FARO 2.8_KG","-",220.00,208.00,208.00,208.00,"",6.00,6.00,6.00,"","PZ","CONSERVAS Y ENLATADOS",1
"5064","CHILES CHIPOTLES MOLIDOS LA MORENA 225_GR","-",33.00,31.50,31.50,31.50,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0229","CHILES CHIPOTLES SAN MARCOS 215_GR","-",34.00,32.50,32.50,32.50,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0231","CHILES CHIPOTLES SAN MARCOS 380_GR","-",63.00,59.00,59.00,59.00,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"1106","CHILES CHIPOTLES SAN MARCOS 800_GR","-",114.00,108.00,108.00,108.00,"",12.00,12.00,12.00,"","PZ","CONSERVAS Y ENLATADOS",1
"1853","CHILES EN RAJAS JALAPEÑO BOLSA FARO 3_KG","-",96.00,90.00,90.00,90.00,"",6.00,6.00,6.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0232","CHILES EN RAJAS JALAPEÑO LA COSTEÑA 220_GR","-",18.00,16.50,16.50,16.50,"",48.00,48.00,48.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0234","CHILES EN RAJAS JALAPEÑO LA COSTEÑA 820_GR","-",44.00,41.00,41.00,41.00,"",12.00,12.00,12.00,"","PZ","CONSERVAS Y ENLATADOS",1
"5061","CHILES EN RAJAS JALAPEÑO LA MORENA 210_GR","-",20.00,18.50,18.50,18.50,"",48.00,48.00,48.00,"","PZ","CONSERVAS Y ENLATADOS",1
"5063","CHILES EN RAJAS JALAPEÑO MORENA 2.8_KG","-",133.00,126.00,126.00,126.00,"",6.00,6.00,6.00,"","PZ","CONSERVAS Y ENLATADOS",1
"3522","CHILES EN RAJAS JALAPEÑO SAN MARCOS 215_GR","-",21.00,19.50,19.50,19.50,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"3820","CHILES EN RAJAS JALAPEÑO SAN MARCOS 820_GR","-",53.00,49.00,49.00,49.00,"",12.00,12.00,12.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0237","CHILES ENTEROS JALAP SAN MARCOS 780_GR","-",40.00,38.00,38.00,38.00,"",12.00,12.00,12.00,"","PZ","CONSERVAS Y ENLATADOS",1
"1154","CHILES ENTEROS JALAPEÑO LA COSTEÑA 220_GRS","-",15.00,13.50,13.50,13.50,"",48.00,48.00,48.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0236","CHILES ENTEROS JALAPEÑO LA COSTEÑA 780_GR","-",37.00,35.00,35.00,35.00,"",12.00,12.00,12.00,"","PZ","CONSERVAS Y ENLATADOS",1
"1377","CHILES ENTEROS JALAPEÑO SAN MARCOS 215_GR","-",16.00,15.00,15.00,15.00,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"1868","CHILES RODAJAS JALAPEÑO BOLSA FARO 3_KG","-",96.00,91.00,91.00,91.00,"",6.00,6.00,6.00,"","PZ","CONSERVAS Y ENLATADOS",1
"0239","CHILES SERRANOS LA COSTEÑA 220_GR","-",20.00,18.50,18.50,18.50,"",24.00,24.00,24.00,"","PZ","CONSERVAS Y ENLATADOS",1
"5199","CHILTEPIN MOLIDO CHIAPAS 100% PURO SJ 1_KG","-",565.00,555.00,555.00,555.00,"",5.00,5.00,5.00,"","PQ","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"5557","CHILTEPIN MOLIDO CHIAPAS 100% PURO SJ ESPECIERO 60_GR","-",48.00,44.00,44.00,44.00,"",12.00,12.00,12.00,"","PZ","ESPECIAS ENTERAS Y MOLIDAS",1
"5200","CHILTEPIN MOLIDO CHIAPAS 100% PURO SJ GRANEL","-",630.00,620.00,620.00,620.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"5146","CHILTEPIN SECO CHIAPAS","-",440.00,430.00,430.00,430.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"0910","CHILTEPIN SECO VERACRUZ","-",975.00,970.00,970.00,970.00,"",5.00,5.00,5.00,"","KG","CHILES ENTEROS, PREPARADOS Y MOLIDOS",1
"4741","CHISPAS DE CHOCOCOLATE SEMI AMARGO HORNEABLE ALPEZZI 1_KG","-",196.00,185.00,185.00,185.00,"",10.00,10.00,10.00,"","PQ","CHOCOLATES",1
"2566","CHISPAS DE CHOCOLATE SEMI AMARGO HORNEABLE ALPEZZI GRANEL","-",202.00,202.00,202.00,202.00,"",1.00,1.00,1.00,"","KG","CHOCOLATES",1
"3857","CHOCO HUEVITO PINTO LA CORONA 1_KG","-",126.00,126.00,126.00,126.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"1886","CHOCO HUEVITO PINTO LA CORONA GRANEL","-",147.00,147.00,147.00,147.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"1364","CHOCO SAYES 350_GR","-",30.00,28.00,28.00,28.00,"",10.00,10.00,10.00,"","PQ","CHOCOLATES",1
"1968","CHOCOLATE ABUELITA 540_GR (6 PZ)","-",132.00,128.00,128.00,128.00,"",24.00,24.00,24.00,"","PQ","CHOCOLATES",1
"1969","CHOCOLATE ABUELITA RUEDITA 90_GR","-",23.00,23.00,23.00,23.00,"",1.00,1.00,1.00,"","PZ","CHOCOLATES",1
"0241","CHOCOLATE ARGÜELLO AMARILLO NO_2 200_GR","-",56.00,53.00,53.00,53.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"0242","CHOCOLATE ARGÜELLO BLANCO NO_1 200_GR","-",46.00,43.50,43.50,43.50,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"5315","CHOCOLATE ARGÜELLO NATURAL SIN AZUCAR 200_GR","-",92.00,86.00,86.00,86.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"1529","CHOCOLATE ARGÜELLO ROJO NO_2 ESPECIAL 200_GR","-",64.00,60.00,60.00,60.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"5629","CHOCOLATE CORAZON ROJO VOLLMOND 110_GR","-",38.00,34.50,34.50,34.50,"",45.00,45.00,45.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5560","CHOCOLATE CORAZON ROJO VOLLMOND 265_GR","-",78.00,74.00,74.00,74.00,"",36.00,36.00,36.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"2702","CHOCOLATE EN POLVO IDEAL CANELA 1_KG","-",106.00,97.00,97.00,97.00,"",12.00,12.00,12.00,"","PQ","CHOCOLATES",1
"2122","CHOCOLATE EN POLVO IDEAL CANELA 350_GR","-",40.00,36.00,36.00,36.00,"",24.00,24.00,24.00,"","PQ","CHOCOLATES",1
"5551","CHOCOLATE EN POLVO IDEAL CANELA 500_GR","-",55.00,50.00,50.00,50.00,"",24.00,24.00,24.00,"","PQ","CHOCOLATES",1
"2788","CHOCOLATE EN POLVO IDEAL CANELA GRANEL","-",107.00,107.00,107.00,107.00,"",1.00,1.00,1.00,"","KG","CHOCOLATES",1
"4298","CHOCOLATE IDEAL MARQUETA GOURMET 200_GR","-",59.00,55.00,55.00,55.00,"",24.00,24.00,24.00,"","PZ","CHOCOLATES",1
"4201","CHOCOLATE IDEAL MARQUETA VERDE 160_GR","-",32.00,30.00,30.00,30.00,"",50.00,50.00,50.00,"","PZ","CHOCOLATES",1
"5068","CHOCOLATE IDEAL REDONDO 270_GR (3 PZ)","-",50.00,47.50,47.50,47.50,"",24.00,24.00,24.00,"","PQ","CHOCOLATES",1
"0250","CHOCOLATE IDEAL REDONDO 540_GR (6 PZ)","-",89.00,86.00,86.00,86.00,"",12.00,12.00,12.00,"","PQ","CHOCOLATES",1
"0251","CHOCOLATE IDEAL REDONDO RUEDITA 90_GR","-",16.00,16.00,16.00,16.00,"",1.00,1.00,1.00,"","PZ","CHOCOLATES",1
"1858","CHOCOLATE LOCOMOTORA AMARILLO NO_4 220_GR","-",66.00,61.00,61.00,61.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"1854","CHOCOLATE LOCOMOTORA BLANCO NO_5 220_GR","-",66.00,61.00,61.00,61.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"5125","CHOCOLATE LOCOMOTORA ESPECIAL AMARGO PURO 200_GR","-",107.00,101.00,101.00,101.00,"",12.00,12.00,12.00,"","PZ","CHOCOLATES",1
"5416","CHOCOLATE VOLLMOND BOLSA 1_KG","-",174.00,161.00,161.00,161.00,"",12.00,12.00,12.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5413","CHOCOLATE VOLLMOND CHAROLA 12_PZ","-",76.00,76.00,76.00,76.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5412","CHOCOLATE VOLLMOND CORAZON 16_PZ","-",90.00,90.00,90.00,90.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5411","CHOCOLATE VOLLMOND CORAZON 3_PZ","-",25.00,25.00,25.00,25.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5415","CHOCOLATE VOLLMOND CORAZON 8_PZ","-",48.00,48.00,48.00,48.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5414","CHOCOLATE VOLLMOND FLOR 5_PZ","-",37.00,37.00,37.00,37.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5520","CHOCOLATE VOLLMOND GRANEL","-",190.00,190.00,190.00,190.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"5561","CHOCOLATE VOLLMOND RELLENO DOBLE MOÑO 1_KG","-",169.00,162.00,162.00,162.00,"",12.00,12.00,12.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5562","CHOCOLATE VOLLMOND RELLENO DOBLE MOÑO GRANEL","-",182.00,182.00,182.00,182.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"5504","CHOCOLATE VOLLMOND RELLENO MOÑO 1_KG","-",182.00,182.00,182.00,182.00,"",1.00,1.00,1.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"5523","CHOCOLATE VOLLMOND RELLENO MOÑO GRANEL","-",189.00,189.00,189.00,189.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"1962","CHOCOMILK PANCHO PANTERA BOLSA 350_GR","-",60.00,57.00,57.00,57.00,"",33.00,33.00,33.00,"","PZ","CHOCOLATES",1
"3964","CHOCOMILK PANCHO PANTERA BOTE 1750_GR","-",295.00,295.00,295.00,295.00,"",1.00,1.00,1.00,"","PZ","CHOCOLATES",1
